Customer ID,Recency,Frequency,Monetary,AvgBucketSize,AvgDaysBetween,Recency_to_AvgDaysRatio,Recent_Orders_Ratio,Is_UK,Churn_Probability,SHAP_Recency,SHAP_Frequency,SHAP_Monetary,SHAP_AvgBucketSize,SHAP_AvgDaysBetween,SHAP_Recency_to_AvgDaysRatio,SHAP_Recent_Orders_Ratio,SHAP_Is_UK,Risk_Tier,Segment,Actionable_Recommendation
12918,261,1,10953.5,1.0,180.0,1.4499999194444488,0.0,1,0.8683201,-0.14584176,0.3756971,0.040458303,0.8840396,0.25739065,0.033985544,0.013004925,-0.013065498,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
15760,265,2,6958.17,1.0,0.0,26499999.999999996,0.0,0,0.7910413,-0.25016513,0.07113772,0.2324797,0.6669705,-0.11506628,0.14898624,0.023567816,0.11278458,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
15202,55,3,2000.4966666666667,1.0,0.0,5500000.0,1.0,1,0.8577937,-0.0120769255,-0.10333775,0.40868494,0.72960603,0.031659637,0.24801446,0.061697606,-0.0076822555,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
12737,133,2,1855.25,1.0,0.0,13299999.999999998,0.0,0,0.86656964,-0.068069756,0.14429699,0.42602763,0.6281888,-0.033610195,0.19079919,0.023821695,0.11898945,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
14028,185,3,1155.1666666666667,796.6666666666666,0.0,18500000.0,0.0,1,0.766893,0.15611957,-0.15823689,-0.10209136,0.26102847,0.18570681,0.40627936,0.0065838774,-0.0050586713,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
14255,181,1,1000.63,1.0,180.0,1.0055554996913612,0.0,1,0.91079277,0.12798013,0.41695756,0.28489372,0.900302,0.22334704,-0.06761861,0.013092393,-0.016118586,High Risk,Hibernating,Hibernating Win-back: Aggressive discount offer or 'We Miss You' promotion with limited validity to re-engage.
17369,90,1,979.2,1152.0,180.0,0.49999997222222375,0.0,1,0.71803045,0.0103942,0.47507063,-0.2360715,0.1945713,0.21206254,-0.15888846,0.0033493883,-0.0062943185,High Risk,Hibernating,Hibernating Win-back: Aggressive discount offer or 'We Miss You' promotion with limited validity to re-engage.
14802,73,2,751.49,1.0,0.0,7299999.999999999,0.0,1,0.88576806,0.040923417,0.1836641,0.48145267,0.6741837,0.007585065,0.22021893,0.010153994,-0.010476549,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
14091,289,2,733.0830769230769,255.07692307692307,44.0,6.568180325413562,0.0,1,0.7271479,0.091391824,0.17524946,-0.17669925,0.19313954,-0.08684244,0.34631354,0.0009169499,-0.0037881061,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
18052,199,1,679.82375,1110.375,180.0,1.105555494135806,0.0,1,0.8765103,0.35821477,0.48372772,0.22388105,0.18248336,0.27700907,-0.0032853936,0.0044742,-0.0072329985,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
13864,21,1,662.4000000000001,192.0,180.0,0.11666666018518554,1.0,1,0.87140644,-0.028443767,0.48841187,0.3369665,0.16094254,0.24510849,0.19651242,0.0738269,-0.00039153988,High Risk,Potential Loyalists,At-Risk Loyalist: Dedicated customer showing signs of leaving. Offer a special loyalty reward or high-value incentive.
15929,279,1,594.0,120.0,180.0,1.5499999138888936,0.0,1,0.81515896,0.1256732,0.46727258,0.104192905,0.078614965,0.234024,0.032018322,0.006934156,-0.0053616036,High Risk,Hibernating,Hibernating Win-back: Aggressive discount offer or 'We Miss You' promotion with limited validity to re-engage.
