Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Recency_Log,Frequency_Log,Monetary_Log
12346,165,11,372.86,0,Potential Loyalists,5.111987788356544,2.4849066497880004,5.923881395784186
12347,3,2,1323.32,0,Potential Loyalists,1.3862943611198906,1.0986122886681098,7.188654399137086
12348,74,1,222.16,2,Hibernating,4.31748811353631,0.6931471805599453,5.407889002977328
12349,43,3,2671.14,0,Potential Loyalists,3.784189633918261,1.3862943611198906,7.890634928493536
12351,11,1,300.93,0,Potential Loyalists,2.4849066497880004,0.6931471805599453,5.710195202428391
12352,11,2,343.8,0,Potential Loyalists,2.4849066497880004,1.0986122886681098,5.842964538789538
12353,44,1,317.76,2,Hibernating,3.8066624897703196,0.6931471805599453,5.764438468529548
12355,203,1,488.21000000000004,2,Hibernating,5.318119993844216,0.6931471805599453,6.192791845141295
12356,16,3,3562.25,0,Potential Loyalists,2.833213344056216,1.3862943611198906,8.17842832873514
12357,24,2,12079.99,0,Potential Loyalists,3.2188758248682006,1.0986122886681098,9.399388421773173
12358,11,3,2719.01,0,Potential Loyalists,2.4849066497880004,1.3862943611198906,7.908390835753873
12359,61,6,2563.36,0,Potential Loyalists,4.127134385045092,1.9459101490553132,7.8494642138008395
12360,15,5,1590.83,0,Potential Loyalists,2.772588722239781,1.791759469228055,7.372639576782921
12361,98,3,321.35,2,Hibernating,4.59511985013459,1.3862943611198906,5.775637911756629
12362,374,1,130.0,2,Hibernating,5.926926025970411,0.6931471805599453,4.875197323201151
12366,269,1,500.24,2,Hibernating,5.598421958998375,0.6931471805599453,6.217085028297085
12368,264,1,917.6999999999999,2,Hibernating,5.579729825986222,0.6931471805599453,6.822959627277421
12369,49,3,1791.15,0,Potential Loyalists,3.912023005428146,1.3862943611198906,7.491171295388921
12370,260,3,774.62,2,Hibernating,5.564520407322694,1.3862943611198906,6.653662709523911
12371,45,3,2179.42,0,Potential Loyalists,3.828641396489095,1.3862943611198906,7.687272797776933
12373,260,2,763.0500000000001,2,Hibernating,5.564520407322694,1.0986122886681098,6.638633232051267
12374,57,3,2246.29,0,Potential Loyalists,4.060443010546419,1.3862943611198906,7.717480324827861
12376,25,2,503.15,0,Potential Loyalists,3.258096538021482,1.0986122886681098,6.222873842839224
12377,17,2,1798.2,0,Potential Loyalists,2.8903717578961645,1.0986122886681098,7.495097400645106
12378,198,1,1407.7,2,Hibernating,5.293304824724492,0.6931471805599453,7.250422572266261
12379,58,2,767.98,0,Potential Loyalists,4.07753744390572,1.0986122886681098,6.645064961365095
12380,101,7,6951.49,1,Champions,4.624972813284271,2.0794415416798357,8.84685514777555
12385,15,1,1938.4,0,Potential Loyalists,2.772588722239781,0.6931471805599453,7.570133925870446
12386,2,1,258.9,0,Potential Loyalists,1.0986122886681098,0.6931471805599453,5.560296941647445
12387,51,1,143.94,2,Hibernating,3.9512437185814275,0.6931471805599453,4.976319863681136
12388,81,2,1120.45,0,Potential Loyalists,4.406719247264253,1.0986122886681098,7.022377769818835
12389,38,3,1433.33,0,Potential Loyalists,3.6635616461296463,1.3862943611198906,7.268453120207762
12391,100,5,2312.53,0,Potential Loyalists,4.61512051684126,1.791759469228055,7.746529775628442
12392,227,1,234.75000000000003,2,Hibernating,5.429345628954441,0.6931471805599453,5.462771921513567
12393,18,2,816.85,0,Potential Loyalists,2.9444389791664403,1.0986122886681098,6.706678945704534
12395,7,4,2048.64,0,Potential Loyalists,2.0794415416798357,1.6094379124341003,7.625419446955157
12396,310,1,931.43,2,Hibernating,5.739792912179234,0.6931471805599453,6.837794081676172
12399,21,3,853.65,0,Potential Loyalists,3.091042453358316,1.3862943611198906,6.750692028402277
12400,50,1,205.25,2,Hibernating,3.9318256327243257,0.6931471805599453,5.32908902521479
12402,28,5,1031.3,0,Potential Loyalists,3.367295829986474,1.791759469228055,6.939544601471544
12403,157,1,591.6600000000001,2,Hibernating,5.062595033026967,0.6931471805599453,6.3846208787485486
12404,318,1,63.24,2,Hibernating,5.765191102784844,0.6931471805599453,4.162626069638506
12406,35,3,2975.06,0,Potential Loyalists,3.58351893845611,1.3862943611198906,7.998355557040069
12408,21,3,1452.22,0,Potential Loyalists,3.091042453358316,1.3862943611198906,7.281537062982867
12409,56,4,12346.619999999999,1,Champions,4.04305126783455,1.6094379124341003,9.421218610934066
12410,138,1,320.38,2,Hibernating,4.9344739331306915,0.6931471805599453,5.772624223613607
12411,45,1,346.9,2,Hibernating,3.828641396489095,0.6931471805599453,5.8519150821578965
12412,38,3,1370.05,0,Potential Loyalists,3.6635616461296463,1.3862943611198906,7.223332148627434
12413,38,1,241.35,2,Hibernating,3.6635616461296463,0.6931471805599453,5.490382962291385
12414,99,3,390.0,2,Hibernating,4.605170185988092,1.3862943611198906,5.968707559985366
12415,11,7,19543.84,1,Champions,2.4849066497880004,2.0794415416798357,9.880466591956658
12416,292,1,202.56,2,Hibernating,5.680172609017068,0.6931471805599453,5.315960801720632
12417,46,11,3167.81,1,Champions,3.8501476017100584,2.4849066497880004,8.061111402071473
12418,49,3,1352.62,0,Potential Loyalists,3.912023005428146,1.3862943611198906,7.210537764156515
12419,21,2,503.01,0,Potential Loyalists,3.091042453358316,1.0986122886681098,6.222596109144375
12421,51,2,291.56,2,Hibernating,3.9512437185814275,1.0986122886681098,5.678669773841126
12422,30,14,4428.24,1,Champions,3.4339872044851463,2.70805020110221,8.395983290759423
12423,23,2,763.08,0,Potential Loyalists,3.1780538303479458,1.0986122886681098,6.638672495726482
12424,58,2,1579.07,0,Potential Loyalists,4.07753744390572,1.0986122886681098,7.365224428837097
12425,84,1,964.21,2,Hibernating,4.442651256490317,0.6931471805599453,6.872345694244244
12426,298,1,762.48,2,Hibernating,5.700443573390687,0.6931471805599453,6.6378869291616915
12427,7,1,303.5,0,Potential Loyalists,2.0794415416798357,0.6931471805599453,5.718671087149952
